# DUREE_SEC:1577880000.0|PAS:1000.0000|INTERVALLE:100000.00
Soleil_1_X,Soleil_1_Y,Soleil_1_VX,Soleil_1_VY,Soleil_2_X,Soleil_2_Y,Soleil_2_VX,Soleil_2_VY,Soleil_3_X,Soleil_3_Y,Soleil_3_VX,Soleil_3_VY
81353353816.24142,173483553355.5988,18107.91964091151,-8491.216172803326,-190917841210.8531,-16287705663.414848,-1700.350895782784,19927.5264872384,109564487478.63013,-157195847692.18442,-16407.568725128764,-11436.310314434992
83159681480.86743,172624997277.69333,18018.305612291973,-8679.749449596427,-191077473668.12634,-14294101981.126722,-1492.2692743114553,19944.18510028778,107917792273.27736,-158330895296.56702,-16526.036317980543,-11264.435650691266
84956949514.32814,171747634985.26352,17926.728663360343,-8867.337047744886,-191216289650.29,-12298941062.317158,-1284.0251744141642,19958.670935158312,106259340223.98015,-159448693922.94662,-16642.703468946213,-11091.33388741334
86744962121.77873,170851562068.90335,17833.198773404358,-9053.95853002385,-191334274043.80438,-10302440265.593065,-1075.6412848906764,19970.982415554237,104589312012.0439,-160549121803.3107,-16757.55746851372,-10917.0238855303
88523524516.95166,169936876157.6825,17737.726134508197,-9239.59356452489,-191431414004.78973,-8304817095.34501,-867.140309732298,19981.11820212519,102907889579.85646,-161632059062.33792,-16870.585804775947,-10741.524637600209
90292442943.38173,169003676908.50327,17640.321150440734,-9424.221926871993,-191507698960.4228,-6306289178.045178,-658.5449656468643,19989.077192611272,101215256111.05957,-162697387730.45853,-16981.77616479391,-10564.85526573919
92051524695.51762,168052065995.2364,17540.99443552054,-9607.823502425768,-191563120610.08334,-4307074238.532133,-449.8779795823556,19994.858521962313,99511596010.58394,-163744991756.7049,-17091.116435938235,-10387.035019536466
93800578139.71925,167082147097.63898,17439.756813458105,-9790.378288475762,-191597672926.2543,-2307390076.284967,-241.16208624941905,19998.46156243135,97797094884.55316,-164774757021.35477,-17198.594707208755,-10208.083273955515
95539412735.13794,166094025890.05182,17336.61931617508,-9971.866396420415,-191611352155.17465,-307454541.6894014,-32.420025643062694,19999.885923641996,96071939520.05505,-165786571348.36285,-17304.19927053208,-10028.019527221497
97267839054.478,165087810029.8793,17231.593182600885,-10152.268053934684,-191604156817.24463,1692514487.7015803,176.32545943620846,19999.131452630125,94336317864.78511,-166780324517.58176,-17407.918622037178,-9846.863398695334
98985668804.63553,164063609145.85605,17124.68985744676,-10331.563607124855,-191576087707.18063,3692299130.9099574,385.0516258615425,19996.198233859526,92590419006.56354,-167755908276.76648,-17509.741463308404,-9664.634626734562
100692714847.21547,163021534826.0936,17015.92098995733,-10509.733522670489,-191527147893.9251,5691681527.275171,593.7357326589051,19991.086589211754,90834433152.728,-168713216353.36945,-17609.656702616354,-9481.353066541173
102388791218.9207,161961700605.91928,16905.298432639884,-10686.75838995317,-191457342720.30655,7690443860.1943035,802.3550434859882,19983.797077950054,89068551609.40433,-169652144466.11417,-17707.65345612601,-9297.038687996794
104073713151.81424,160884221955.49847,16792.834239971577,-10862.618923171856,-191366679802.45346,9688368380.857388,1010.8868291105927,19974.330496657316,87292966760.65776,-170572590336.3566,-17803.721049082294,-9111.711573485385
105747297093.4507,159789216267.24814,16678.540667084464,-11037.295963444594,-191255169028.95868,11685237431.975143,1219.3083698882153,19962.687879148234,85507872047.52637,-171474453699.2239,-17897.849016972796,-8925.391915703583
107409360726.87517,158676802843.04068,16562.43016842871,-11210.770480896364,-191122822559.7965,13680833471.49674,1427.5969582385662,19948.870496355605,83713461946.9398,-172357636314.53824,-17990.027106667407,-8738.100015459166
109059722990.48706,157547102881.19913,16444.51539641422,-11383.023576732874,-190969654824.99347,15674939096.314844,1635.72990112075,19932.879856190593,81909931950.52487,-173222041977.5149,-18080.245277535105,-8549.856279457628
110698204097.76701,156400239463.28598,16324.80920003041,-11554.036485299974,-190795682523.04947,17667337065.955307,1843.6845225068305,19914.71770337739,80097478543.30107,-174067576529.2421,-18168.493702537384,-8360.68121807734
112324625556.86562,155236337540.68677,16203.324623444827,-11723.79057612859,-190600924619.1144,19657810326.249268,2051.4381658535344,19894.386019261925,78276299182.26736,-174894147866.937,-18254.762769298508,-8170.595443133277
113938810190.05005,154055523920.99042,16080.074904580291,-11892.267355964832,-190385402342.9147,21646142032.98457,2258.9681965717878,19871.88702159473,76446592274.88336,-175701665953.97595,-18339.04308115222,-7979.61966562984
115540582153.0071,152857927254.1661,15955.073473671015,-12059.448470785177,-190149139186.43582,23632115575.53427,2466.2520044938456,19847.22316428803,74608557157.44722,-176490042829.7013,-18421.32545816502,-7787.774693502802
117129766954.00192,151643678018.54007,15828.333951797773,-12225.315707796417,-189892160901.3553,25615514600.459743,2673.26700633773,19820.397137147185,72762394073.3719,-177259192619.00082,-18501.600938135663,-7595.081429350737
118706191472.88805,150412908506.57437,15699.870149402204,-12389.85099742016,-189614495496.23273,27596123035.085373,2879.990648168709,19791.41186557632,70908304151.36334,-178009031541.66083,-18579.86077757108,-7401.56086815613
