# DUREE_SEC:1577880000.0|PAS:1000.0000|INTERVALLE:100000.00
Soleil_1_X,Soleil_1_Y,Soleil_1_VX,Soleil_1_VY,Soleil_2_X,Soleil_2_Y,Soleil_2_VX,Soleil_2_VY,Soleil_3_X,Soleil_3_Y,Soleil_3_VX,Soleil_3_VY
79538163220.79268,174323209676.76996,18195.560963948352,-8301.757758164744,-190737409659.72086,-18279534918.826073,-1908.2473673389518,19908.69690997014,111199246438.92722,-156043674757.94562,-16287.313596609436,-11606.939151805373
81353353732.50829,173483553355.03735,18107.91962104137,-8491.216173323131,-190917841210.5101,-16287705662.105455,-1700.35089539755,19927.526488170108,109564487478.00072,-157195847692.93344,-16407.568725643854,-11436.310314846936
83159681395.14713,172624997277.07822,18018.30559241883,-8679.74945015212,-191077473667.7432,-14294101979.722033,-1492.2692738936494,19944.185101262003,107917792272.595,-158330895297.3573,-16526.0363185252,-11264.435651109845
84956949426.62042,171747634984.59088,17926.728643483275,-8867.33704833792,-191216289649.86322,-12298941060.81289,-1284.0251739620676,19958.670936175655,106259340223.24179,-159448693923.7791,-16642.703469521264,-11091.333887837693
86744962032.08308,170851562068.16953,17833.1987535224,-9053.958530655693,-191334274043.33038,-10302440263.98488,-1075.6412844025328,19970.982416615265,104589312011.2464,-160549121804.18585,-16757.55746911991,-10917.023885959525
88523524425.26753,169936876156.88336,17737.726114620345,-9239.593565197007,-191431414004.2652,-8304817093.628508,-867.140309206317,19981.118203230402,102907889578.99677,-161632059063.25626,-16870.585805414066,-10741.524638033346
90292442849.70862,169003676907.63483,17640.32113054587,-9424.221927585853,-191507698959.844,-6306289176.215925,-658.5449650812209,19989.077193761135,101215256110.13431,-162697387731.42023,-16981.776165464715,-10564.855266175226
92051524599.8546,168052065994.29456,17540.994415617566,-9607.823503182892,-191563120609.44592,-4307074236.585644,-449.87797897519084,19994.85852315727,99511596009.59001,-163744991757.71027,-17091.11643664241,-10387.035019974344
93800578042.06549,167082147096.619,17439.756793545825,-9790.37828927763,-191597672925.55392,-2307390074.2167144,-241.16208559884168,19998.461563671764,97797094883.48706,-164774757022.40396,-17198.594707947006,-10208.083274394108
95539412635.4924,166094025888.94928,17336.619296252225,-9971.866397268532,-191611352154.40714,-307454539.49482137,-32.42002494714914,19999.885924928214,96071939518.91338,-165786571349.456,-17304.19927130511,-10028.019527659651
97267838952.83943,165087810028.6897,17231.59316266615,-10152.268054830547,-191604156816.40515,1692514490.0270839,176.32546017941206,19999.13145396243,94336317863.56433,-166780324518.71844,-17407.91862284558,-9846.863399131846
98985668701.0029,164063609144.57455,17124.68983749877,-10331.563608069964,-191576087706.26428,3692299133.371009,385.0516266540193,19996.198235238182,92590419005.26007,-167755908277.9466,-17509.74146415283,-9664.634627168161
100692714741.58737,163021534824.71506,17015.92096999468,-10509.73352366635,-191527147892.9271,5691681529.876422,593.7357335026659,19991.08659063697,90834433151.33823,-168713216354.59283,-17609.656703497385,-9481.353066970556
102388791111.29556,161961700604.43842,16905.298412661094,-10686.758391001273,-191457342719.2216,7690443862.940413,802.3550443830715,19983.797079421962,89068551607.92462,-169652144467.38025,-17707.65345704423,-9297.038688420613
104073713042.19038,160884221953.91006,16792.834219975106,-10862.618924273704,-191366679801.27618,9688368383.753014,1010.8868300630629,19974.330498176,87292966759.08434,-170572590337.66473,-17803.72105003823,-9111.711573902227
105747296981.82628,159789216265.5469,16678.540647068687,-11037.29596460166,-191255169027.68326,11685237435.024988,1219.3083708981617,19962.687880713747,85507872045.85548,-171474453700.5736,-17897.849017966913,-8925.391916112005
107409360613.24818,158676802841.22098,16562.43014839201,-11210.770482110147,-191122822558.41714,13680833474.705484,1427.5969593081002,19948.870497967877,83713461945.16751,-172357636315.92816,-17990.027107700167,-8738.100015857663
109059722874.8553,157547102879.25516,16444.51537635486,-11383.023578004848,-190969654823.5038,15674939099.687157,1635.729902252003,19932.879857849584,81909931948.64737,-173222041978.94415,-18080.2452786069,-8549.856279844686
110698203980.12808,156400239461.2119,16324.809179946604,-11554.036486631598,-190795682521.4435,17667337069.495865,1843.6845237019584,19914.717705082996,80097478541.31447,-174067576530.70932,-18168.493703648594,-8360.681218451351
112324625437.21712,155236337538.47653,16203.324603334717,-11723.790577521295,-190600924617.3859,19657810329.962715,2051.4381671147103,19894.386021013943,78276299180.1676,-174894147868.44077,-18254.762770449477,-8170.595443492621
113938810068.38924,154055523918.63785,16080.07488444199,-11892.267357420047,-190385402341.0568,21646142036.875504,2258.968197901204,19871.887023392926,76446592272.66656,-175701665955.51492,-18339.043082343243,-7979.61966597284
115540582029.33098,152857927251.66464,15955.073453502557,-12059.448472304328,-190149139184.44144,23632115579.60732,2466.2520058937075,19847.223166132102,74608557155.10927,-176490042831.27353,-18421.325459396332,-7787.774693827755
117129766828.30728,151643678015.88354,15828.333931597144,-12225.315709380897,-189892160899.2173,25615514604.719486,2673.2670078102597,19820.397139036784,72762394070.9088,-177259192620.60468,-18501.600939407468,-7595.081429655885
118706191345.17165,150412908503.75616,15699.87012916731,-12389.850999071352,-189614495493.94357,27596123039.536316,2879.9906497161414,19791.411867511033,70908304148.77097,-178009031543.29416,-18579.86077888353,-7401.560868439669
120269683850.22696,149165752807.4593,15569.696044509192,-12553.036416981018,-189316173231.00366,29573725115.689266,3086.400409482146,19760.27051223755,69046489380.77571,-178739477923.1503,-18656.09645399142,-7207.234095256524
121820074022.93492,147902346804.2684,15437.825862246751,-12714.854185851962,-188997226623.30045,31548105392.627705,3292.4737992393225,19726.97646883206,67177152600.364395,-179450452196.89783,-18730.29966148615,-7012.122282980088
123357192970.47168,146622828141.74686,15304.273951784611,-12875.286677499964,-188657690430.70865,33519048781.09384,3498.1883678299964,19691.533367471897,65300497460.235916,-180141876922.84213,-18802.462319614675,-6816.246689971929
124880873246.12787,145327336222.74292,15169.05486574091,-13034.3164147352,-188297601656.28183,35486340566.55921,3703.521703254726,19653.945072499155,63416728410.153046,-180813676789.30353,-18872.57656899569,-6619.628657763955
126390948867.55014,144016012190.19504,15032.183338360093,-13191.926073266459,-187916999542.21335,37449766432.62039,3908.4514351149887,19614.215681998223,61526050674.66231,-181465778622.81674,-18940.634773475114,-6422.289608731768
127887255334.8243,142688998911.74664,14893.674283905919,-13348.098483588605,-187515925565.55475,39409112484.35098,4112.9552370512865,19572.349527347826,59628670230.7296,-182098111396.09885,-19006.629520957224,-6224.25104375923
129369629648.39581,141346440964.1743,14753.542795034895,-13502.816632853184,-187094423433.6902,41364165271.607475,4317.010829176437,19528.351172747665,57724793785.29371,-182710606235.78305,-19070.55362421135,-6025.534539894497
130837910326.82678,139988484617.63004,14611.80414115021,-13656.06366672195,-186652539079.56796,43314711812.28666,4520.595980503745,19482.225414719684,55814628752.74061,-183303196429.91788,-19132.40012165398,-5826.161747997771
132291937424.38794,138615277819.697,14468.47376673647,-13807.822891203017,-186190320656.68918,45260539615.53204,4723.688511369845,19433.97728158399,53898383232.30057,-183875817435.23013,-19192.162278106356,-5626.154390381008
