# DUREE_SEC:1728000.0|PAS:8.0681|INTERVALLE:1728.00
Terre_X,Terre_Y,Terre_VX,Terre_VY,Fusee_X,Fusee_Y,Fusee_VX,Fusee_VY
3.724293448351681e-12,1.0388917473471595e-11,4.8175223905812784e-17,1.6818421786551624e-16,-216036804.73555985,134828509.23801526,-2877.0243716551213,1456.0385090713244
3.807343161681638e-12,1.0679379775897604e-11,4.80276036643253e-17,1.68276151721916e-16,-220996533.61562467,137337689.8984721,-2868.2084908334873,1450.548219167135
3.890529560284143e-12,1.0971355615033017e-11,4.788531271445475e-17,1.6836439667633045e-16,-225964425.34016654,139849265.2745015,-2859.7108753072216,1445.2782304895177
3.973088850052612e-12,1.126212209092636e-11,4.774930159460301e-17,1.684484087339365e-16,-230894866.1251397,142340280.69549045,-2851.588291229674,1440.2610304092768
4.055417897775485e-12,1.1553030510197623e-11,4.7618554260658426e-17,1.6852885870989252e-16,-235811556.85515013,144822819.2579497,-2843.7800604465056,1435.4565578451773
4.1375255179576e-12,1.1844074923392036e-11,4.749275792946205e-17,1.6860597568007502e-16,-240715023.93242586,147297236.263319,-2836.2675035474585,1430.8511323858693
4.219420006984398e-12,1.2135249759341002e-11,4.737162477237914e-17,1.6867996913134438e-16,-245605762.81710693,149763864.4217849,-2829.0334314064658,1426.4322434760606
4.301109184017793e-12,1.2426549793171347e-11,4.72548894313144e-17,1.6875103103571463e-16,-250484240.46954152,152223015.7627764,-2822.0619968380825,1422.188426547072
4.382980774534145e-12,1.2719332169900972e-11,4.714179012804136e-17,1.688196506461356e-16,-255373611.8551779,154686424.7136785,-2815.307706446612,1418.0904634127314
4.464280180375111e-12,1.301086869992614e-11,4.703315137466925e-17,1.6888535240380605e-16,-260228812.37200004,157131452.5019143,-2808.8198000952307,1414.1667544446561
4.545395249652578e-12,1.330251653918991e-11,4.692822758469153e-17,1.689486111707578e-16,-265073004.3092501,159569832.90242127,-2802.5537513577588,1410.3889408822893
4.626332226174776e-12,1.3594271590329797e-11,4.6826823833138624e-17,1.6900956487484274e-16,-269906560.5471554,162001810.6096854,-2796.497919315019,1406.7487856743398
4.707097029247193e-12,1.3886129985020514e-11,4.672875893931805e-17,1.690683410678227e-16,-274729834.5866406,164427616.64009407,-2790.6414838560568,1403.2386714295776
4.788071521168542e-12,1.4179452585516115e-11,4.66334280135345e-17,1.6912531826706352e-16,-279565631.2441835,166858763.42769223,-2784.9483209682626,1399.8359930909157
4.868507807340912e-12,1.4471507336578425e-11,4.65415600697965e-17,1.691800764591855e-16,-284369286.2543969,169272843.05559072,-2779.4619673682264,1396.565833857392
4.948787971054849e-12,1.4763655022625392e-11,4.645255775620633e-17,1.6923298716249974e-16,-289163617.6313927,171681372.60620502,-2774.1467492006204,1393.4060066554464
5.028916840374521e-12,1.5055892536557145e-11,4.6366284000437674e-17,1.6928414507353639e-16,-293948913.70716316,174084537.63554007,-2768.994480506113,1390.3508562083455
5.108899014415795e-12,1.5348216929100294e-11,4.6282610545014794e-17,1.693336384131185e-16,-298725449.140908,176482514.27420068,-2763.99750174826,1387.395113968499
5.188738877943165e-12,1.5640625398111052e-11,4.620141723827869e-17,1.6938154947682863e-16,-303493485.7907625,178875469.86621734,-2759.148637469975,1384.5338652437224
5.268812734929124e-12,1.5934482240998945e-11,4.612222843723478e-17,1.6942816855951894e-16,-308275496.5299639,181274711.69814825,-2754.4194822716336,1381.749773625456
5.3483797227419525e-12,1.6227051359677045e-11,4.6045674582716715e-17,1.6947313414485806e-16,-313027237.04214597,183658073.29203165,-2749.847686079817,1379.0644288690023
5.427816414830227e-12,1.6519696926165e-11,4.597128249384254e-17,1.6951673380196842e-16,-317771196.2936578,186036869.42271185,-2745.4049905322477,1376.4606573463627
5.507126462077272e-12,1.6812416637108945e-11,4.589895863336386e-17,1.6955903059062646e-16,-322507592.3152514,188411237.64647916,-2741.08580958446,1373.9346931276993
5.586313358626065e-12,1.7105208294630534e-11,4.582861490696753e-17,1.6960008368218187e-16,-327236633.7771447,190781309.220631,-2736.8848822440737,1371.4830025000074
5.6653804509292806e-12,1.739806979987492e-11,4.5760168266780945e-17,1.6963994865803404e-16,-331958520.52949303,193147209.48877534,-2732.797248892127,1369.1022661421155
5.744699604870839e-12,1.769236813198361e-11,4.569323315552353e-17,1.6967885617006885e-16,-336695460.40288264,195520085.58443958,-2728.7998840478326,1366.7787095233928
5.8235360552099016e-12,1.7985363706531007e-11,4.5628357936899465e-17,1.6971649366350206e-16,-341403573.2171315,197877979.23380798,-2724.925535991602,1364.5309984155656
5.902261949052356e-12,1.8278423360574932e-11,4.5565157154559686e-17,1.6975309104832047e-16,-346105083.59740263,200232046.05564374,-2721.1511852702693,1362.3454025941933
5.980880119788116e-12,1.8571545336374896e-11,4.5503564639611255e-17,1.697886920144484e-16,-350800160.75374234,202582391.0222075,-2717.472880277548,1360.219312897036
6.059393289633037e-12,1.8864727949480596e-11,4.544351774021643e-17,1.6982333779851461e-16,-355488967.25688136,204929114.7288726,-2713.886879445681,1358.150266672603
6.138170244691011e-12,1.915934000875193e-11,4.5384686838815885e-17,1.6985722287813219e-16,-360193527.01294386,207283255.03838184,-2710.373498014042,1356.1266497178294
6.2164807027452806e-12,1.94526393811576e-11,4.532756268545881e-17,1.6989006901283033e-16,-364870227.567945,209623005.87965482,-2706.9620435755596,1354.1650785536606
6.294693727382535e-12,1.9745994730987224e-11,4.52718148011648e-17,1.6992207076056408e-16,-369541109.3992821,211959413.7491699,-2703.6327799255205,1352.2539341789925
6.372811650659195e-12,2.0039404629086208e-11,4.521739245102381e-17,1.6995326111675058e-16,-374206311.777364,214292563.99603805,-2700.3826771751,1350.391246107519
6.450836719229379e-12,2.0332867701763394e-11,4.5164247415895357e-17,1.6998367135228837e-16,-378865968.8723752,216622538.65709645,-2697.2088556772283,1348.5751468412047
6.528771098551839e-12,2.0626382627911823e-11,4.511233383608225e-17,1.700133311259699e-16,-383520210.00551134,218949416.6288501,-2694.1085766907872,1346.8038651569402
6.606980437365177e-12,2.0921320054554807e-11,4.50613737525865e-17,1.700424021568761e-16,-388190871.7194438,221284125.99892792,-2691.065240504419,1345.067743191231
6.6847392292914675e-12,2.1214935149215882e-11,4.5011799491127406e-17,1.7007064085548847e-16,-392834626.7732814,223605021.9071055,-2688.1046656100802,1343.381328110106
6.762413388389387e-12,2.1508598418046303e-11,4.496333168727356e-17,1.7009820950935758e-16,-397473327.55460936,225923040.85389298,-2685.2101683639266,1341.7349281010434
6.840004792185398e-12,2.1802308725199534e-11,4.4915932582464145e-17,1.7012513228379135e-16,-402107086.1893063,228238250.67204052,-2682.3794938247056,1340.1271000118682
6.917515254524188e-12,2.2096064975534993e-11,4.486956615134944e-17,1.7015143217781696e-16,-406736011.0001782,230550716.76334575,-2679.610490558535,1338.5564703406721
6.994946528474029e-12,2.2389866112665644e-11,4.4824198002057004e-17,1.7017713109443578e-16,-411360206.6804625,232860502.21524262,-2676.901104682793,1337.0217310401968
7.07266159601801e-12,2.2685084326035556e-11,4.4779590010422076e-17,1.7020236595330976e-16,-416001350.5141886,235178443.00198802,-2674.237115422354,1335.5147052682462
7.149939172138219e-12,2.297897241167227e-11,4.473612561825797e-17,1.7022692198887034e-16,-420616367.3600875,237483035.88910368,-2671.6414219223134,1334.048218824567
7.227142488337744e-12,2.327290242527933e-11,4.469356509858506e-17,1.7025093689574764e-16,-425226949.4035233,239785124.83782843,-2669.09970768745,1332.614048585847
7.304273080243498e-12,2.3566873448323863e-11,4.465187973163673e-17,1.7027442879645986e-16,-429833188.3521348,242084764.70294803,-2666.6102575732957,1331.211112275317
7.381332434964966e-12,2.3860884592854567e-11,4.461104202503672e-17,1.7029741500102032e-16,-434435173.01610106,244382008.51291218,-2664.171429735138,1329.8383761389694
7.458681595815493e-12,2.4156309158312788e-11,4.457084054357888e-17,1.703200160557053e-16,-439054464.9020938,246687625.95294178,-2661.7705972624753,1328.4886411531786
7.535602437207988e-12,2.445039817522974e-11,4.453162392798413e-17,1.7034203759661217e-16,-443648177.5500534,248980219.2240007,-2659.428580979161,1327.173514730212
7.612456237943052e-12,2.4744524816315635e-11,4.4493179112364284e-17,1.7036360100550845e-16,-448237886.52995074,251270565.57968867,-2657.132656590343,1325.8857479509318
7.689244310426978e-12,2.503868830316554e-11,4.4455482901386035e-17,1.7038472076510173e-16,-452823670.2186913,253558711.50635096,-2654.881438870718,1324.6244759080228
7.765967927834073e-12,2.5332887881845826e-11,4.441851303725675e-17,1.7040541074503542e-16,-457405604.6502438,255844702.02890307,-2652.67359858492,1323.3888703063794
