# DUREE_SEC:5175446400.0|PAS:1000.0000|INTERVALLE:1000000.00
Soleil_X,Soleil_Y,Soleil_VX,Soleil_VY,Mercure_X,Mercure_Y,Mercure_VX,Mercure_VY,Venus_X,Venus_Y,Venus_VX,Venus_VY,Terre_X,Terre_Y,Terre_VX,Terre_VY,Mars_X,Mars_Y,Mars_VX,Mars_VY,Jupiter_X,Jupiter_Y,Jupiter_VX,Jupiter_VY,Saturne_X,Saturne_Y,Saturne_VX,Saturne_VY,Uranus_X,Uranus_Y,Uranus_VX,Uranus_VY,Neptune_X,Neptune_Y,Neptune_VX,Neptune_VY
1861059301.9282317,58997236695.85819,-13.158949183909058,21.656750586246602,57499346963.58903,74846090386.21419,-13273.26577637115,45529.551814630395,-75108180957.74188,-16942030846.71064,24591.343224826775,-24932.025897245123,67064251961.95785,-75587899615.51707,26803.011170163445,12996.530889687827,-223096075755.76727,44027978001.967224,1595.413266047449,-24254.977022144343,-414353828359.46405,-599806776652.9097,11026.968187401897,-6945.029037731388,658247590994.3082,-1220839225597.6858,8536.802082483737,4481.8385043091475,-1982887128016.1665,2109966893288.149,-4898.285866631899,-4744.757674380973,-1118745766993.3835,-4242233180902.9824,5286.408842612766,-1409.6858582284754
1847847046.5106554,59018780091.81514,-13.263888772191958,21.429866445033866,27564163592.41835,110116511256.53027,-43253.58948386427,20734.253308432406,-46939456227.40121,-37487651236.25082,31251.69427209303,-15799.187647342527,92400601647.25813,-60015337461.17236,23702.06366575523,18045.427831108416,-220202189299.95535,19906305305.039375,4186.666417505988,-23941.763583938533,-403268987470.1957,-606659082354.7811,11142.195279704805,-6759.260157380375,666769651662.9163,-1216328850990.2866,8507.254904192136,4538.878661915405,-1987779738826.8748,2105216278099.6846,-4886.931053823082,-4756.468201124196,-1113458510828.8618,-4243639609406.354,5288.1021440607765,-1403.1708232834876
1834534562.848343,59040096050.98537,-13.359653039711286,21.20177931076254,-19360546089.195965,111075580155.43797,-44844.789431575235,-19290.551313356314,-13693722348.154387,-47990930841.272484,34656.73027622982,-5023.648282593785,114155657959.31075,-39735382176.13639,19664.183245948723,22380.259066016093,-214739184247.13187,-3763140760.33531,6728.616526894039,-23351.43655138024,-392070479786.13544,-613324661241.6031,11254.296439525135,-6571.584114742778,675261972303.8987,-1211761532810.886,8477.322229747866,4595.725208459432,-1992660980732.6477,2100453965899.9263,-4875.5480675000645,-4768.151685776316,-1108169565390.322,-4245039521900.883,5289.787390337243,-1396.653842327323
1821130699.1497917,59061182834.41933,-13.44641931703404,20.971269324131978,-51149412988.22531,75610550786.5077,-14447.613027989746,-47236.64864289954,21167419011.880566,-47360888761.076675,34454.68483265843,6272.304268891083,131469619815.29115,-15550178136.63279,14849.276787498544,25830.18493855607,-206771341285.3788,-26706539936.5269,9191.44512396694,-22491.134214051708,-380761447106.97644,-619801632360.4895,11363.240078066918,-6382.053416145175,683724168031.7268,-1207137465988.8638,8447.00528346736,4652.375508545922,-1997530825592.232,2095679983764.5327,-4864.1369722280415,-4779.808061219246,-1102878938733.8875,-4246432916445.855,5291.464579523446,-1390.1349259304584
1807645682.859697,59082037635.4241,-13.521276093353984,20.738057566721608,-44495218290.305595,28233508091.14587,26829.811726715063,-41317.11441146838,54017045718.41979,-35665188347.611404,30669.384287285877,16914.013589155973,143658400059.23535,11584288080.619137,9447.704010136023,28259.358983650774,-196392286392.336,-48658846065.93293,11546.342252893395,-21371.24594099498,-369345062381.9423,-626088167524.8793,11468.99548735786,-6190.721085583058,692155855194.3092,-1202456848085.2874,8416.305307828485,4708.826934211945,-2002389245329.0474,2090894358836.228,-4852.6978327763,-4791.437260431858,-1097586638917.6112,-4247819791111.1284,5293.1337096970965,-1383.6140846741698
1794093349.6249087,59102659291.81697,-13.580670564533676,20.50598704724199,-4391064354.37369,2935153051.704064,48107.9949661423,-6328.489006849833,81439986856.09549,-14121329425.21368,23696.61201815847,25796.524182845056,150240415203.75308,40595934808.66445,3672.7816241402634,29572.188502012046,-183723798960.61145,-69366969100.21281,13765.86993127093,-20005.266661862297,-357824528822.8705,-632182491826.2251,11571.532851557671,-5997.640653512517,700556651390.9733,-1197719879285.3071,8385.223563172116,4765.0768653520745,-2007236211931.382,2086097118324.7134,-4841.230714097213,-4803.03921649817,-1092292674001.4674,-4249200143977.1123,5294.79477893505,-1377.0913291493082
1780489487.292715,59123052285.344154,-13.624794775028844,20.281894674049433,40279378945.27967,16444782784.782125,35934.60670260471,31396.025799723993,100586828976.93384,15031288944.550419,14262.094250948008,31998.718715656873,150955420304.94144,70338822282.07982,-2247.5796918278074,29717.026768428015,-168914267010.0525,-88592789954.3529,15824.303726480122,-18409.608684678715,-346203079008.4515,-638082884135.3042,11670.823253840366,-5802.866145989391,708926175490.2706,-1192926762390.063,8353.761327585744,4821.122690138599,-2012071697452.5544,2081288289506.5393,-4829.735681318282,-4814.613862617679,-1086997052047.3573,-4250573973134.8574,5296.44778531417,-1370.566669957239
1766847279.3712347,59143227686.19852,-13.658438483034518,20.07149193723865,59660273677.421394,58293007627.09374,699.6241058545207,47374.94478822812,109468541431.3033,48764593747.40619,3345.8319344905817,34877.987221467796,145774678485.60107,99638240034.77287,-8079.78833603479,28688.1646304253,-152136814038.76352,-106115967696.03716,17697.946860876364,-16603.37530734235,-334483973981.7941,-643787677591.03,11766.838683483837,-5606.452070958702,717264047647.683,-1188077702808.237,8321.919896826628,4876.961805407221,-2016895674011.0955,2076467899725.006,-4818.212799732685,-4826.161132110471,-1081699781119.0985,-4251941276685.994,5298.09272691206,-1364.0401177101476
1753173709.5548582,59163200606.40437,-13.688787196126183,19.876966622495026,41530846215.03157,100696424900.01741,-34973.238138511006,32454.099474381463,107161805092.65889,83575981113.31056,-7919.275853660501,34136.055727494044,134902081572.5035,127336903587.8219,-13593.69957915453,26526.051042401476,-133587127719.00641,-121736502927.5823,19365.411824208706,-14608.100263450344,-322670502340.7475,-649295260075.9397,11859.55204263043,-5408.453405704222,725569889323.2847,-1183172908547.134,8289.70058436791,4932.591617123513,-2021708113790.9111,2071635976390.0298,-4806.662134783892,-4837.680958435194,-1076400869282.4332,-4253302052742.7983,5299.729601807796,-1357.5116830335917
1739468356.4060328,59182986355.159294,-13.72311038414743,19.696520948794582,-2703083169.9065485,115558708504.27562,-48271.69316889257,-4833.421756979153,93904323041.82617,115851048677.2815,-18364.229829850614,29849.54193338355,118766178447.56392,152340480686.70502,-18571.61534356634,23315.736187044713,-113481024563.12657,-135277025500.3298,20807.86628606902,-12447.457856896388,-310765979322.53766,-654604074679.0165,11948.937151213504,-5208.925583282506,733843323299.6185,-1178212590203.4497,8257.10472174098,4988.009540551693,-2026508989041.4167,2066792546977.9795,-4795.083752065268,-4849.173275212957,-1071100324605.0221,-4254656299428.135,5301.358408079731,-1350.981376570981
