# DUREE_SEC:1577880000.0|PAS:1000.0000|INTERVALLE:100000.00
Soleil_1_X,Soleil_1_Y,Soleil_1_VX,Soleil_1_VY,Soleil_2_X,Soleil_2_Y,Soleil_2_VX,Soleil_2_VY,Soleil_3_X,Soleil_3_Y,Soleil_3_VX,Soleil_3_VY
160158116391.38174,11877616657.658451,-3697.312474067664,13917.625846696808,-52892215694.03365,41196132003.72006,32151.064160884456,-17125.488620168595,-107265900697.34894,-53073748661.37847,-28453.751686816886,3207.862773471857
159765520897.04074,13269241091.442085,-4155.942286343803,13914.581904896118,-49691394691.95405,39434039017.47301,31860.64063086722,-18106.664283130798,-110074126205.08765,-52703280108.914986,-27704.698344523513,4192.082378234754
159326644178.79086,14660468723.035057,-4623.0855264674765,13909.606102724905,-46520910576.88001,37576779452.10667,31545.52165396237,-19028.45385363605,-112805733601.91174,-52237248175.141594,-26922.436127495,5118.847750911211
158840590379.84723,16051080140.641226,-5099.631925327556,13902.162567419256,-43382876433.122665,35630387709.60762,31212.811657903087,-19889.079589963727,-115457713946.7256,-51681467850.24871,-26113.179732575616,5986.917022544534
158306374865.29358,17440798863.063198,-5586.466994307398,13891.645014160833,-40278704407.366356,33601036041.116634,30869.40506684666,-20687.54671160514,-118027670457.92824,-51041834904.1797,-25282.938072539342,6795.901697444372
157722924749.44644,18829284060.757637,-6084.469820433557,13877.371922717077,-37209132259.84624,31494961140.774757,30521.87946995172,-21423.54353556985,-120513792489.60129,-50324245201.53229,-24437.40964951824,7546.171612852809
157089079674.37088,20216122774.342003,-6594.510230836281,13858.581313688039,-34174259350.506977,29318401235.222805,30176.413631815463,-22097.332497398227,-122914820323.86496,-49534524009.56471,-23581.903400979238,8238.751183710208
156403592908.01215,21600821591.833553,-7117.445216707668,13834.42515247741,-31173589635.403915,27077544274.987038,29838.728940089553,-22709.637997716287,-125230003272.60924,-48678365866.82046,-22721.28372338193,8875.212845238877
155665132841.9661,22982797749.27375,-7654.1144953337525,13803.963420808246,-28206079446.44242,24778487292.34307,29514.051810976896,-23261.535942295828,-127459053395.52449,-47761285041.61669,-21859.9373156432,9457.5725214876
154872284981.65207,24361369624.092308,-8205.335076741769,13766.157910579888,-25270188111.61418,22427206560.672596,29207.09391636492,-23754.34869821511,-129602096870.03888,-46788576184.76477,-21001.758839623206,9988.19078763525
154023554535.6109,25735746596.955536,-8771.894689269337,13719.865813801718,-22363929804.035496,20029537873.791805,28922.046799979627,-24189.548089829143,-131659624731.57654,-45765284470.74721,-20150.15211071033,10469.682276027457
153117369725.8219,27105018266.357853,-9354.54390632144,13663.83320602228,-19484925353.9892,17591166051.27261,28662.587437896145,-24568.668085768095,-133632444371.83385,-44696184317.6303,-19308.043531574735,10904.83487974584
152152085957.28244,28468143011.37172,-9953.986805354489,13596.68854996455,-16630453094.41213,15117622652.273062,28431.89149084196,-24893.2280262835,-135521632862.87128,-43585765663.64464,-18477.904685487538,11296.53947631898
151125991002.4789,29823935912.37554,-10570.86998062729,13516.936381907353,-13797498120.204987,12614290827.810732,28232.651318404227,-25164.66662439799,-137328492882.27478,-42438226740.18615,-17661.781337777004,11647.730242490637
150037311374.58698,31171056057.931694,-11205.76972476679,13422.951386666107,-10982799615.48175,10086416241.262695,28067.09621750839,-25384.286539311,-139054511759.106,-41257472299.19426,-16861.32649274167,11961.33515264488
148884220081.85938,32507993289.08456,-11859.177192443949,13312.973118731496,-8182896135.895199,7539123021.902556,27937.01276330201,-25553.209048276403,-140701323945.9648,-40047116310.98697,-16077.835570858157,12240.235929544884
147664845974.1491,33833054461.068684,-12531.481364717283,13185.101687987799,-5394168924.805102,4977433771.412112,27843.76353848995,-25672.338208982575,-142270677049.3446,-38810488232.48064,-15312.282173772768,12487.236520994766
146377284909.9862,35144349337.70247,-13222.949647786278,13037.294798936018,-2612883494.1019807,2406292706.0628734,27788.302918861293,-25742.333881597446,-143764401415.88483,-37550642043.765205,-14565.353271075106,12705.039082661426
145019612987.95233,36439776276.56507,-13933.70596862747,12867.36661248998,164770183.95337516,-169408922.17388391,27771.188930467237,-25763.593042256587,-145184383171.90628,-36270367354.39102,-13837.48296183987,12896.22642976661
143589902097.68448,37717007914.34246,-14663.706276654073,12672.988988438172,2942638445.026433,-2744805931.3142676,27792.59050799085,-25736.23894445437,-146532540542.71136,-34972201983.02799,-13128.884231336873,13063.249956016207
142086238051.6525,38973477122.2947,-15412.711430305759,12451.69576270809,5724565179.767896,-5315031611.259339,27852.289770410996,-25660.11785096623,-147810803231.4212,-33658445511.03517,-12439.578340105336,13208.422088258147
140506741556.2996,40206363572.180695,-16180.257546172308,12200.890813223048,8514353053.417855,-7875190172.932374,27949.67919900361,-25534.803248492117,-149021094609.7177,-32331173399.24809,-11769.42165283139,13333.912435269065
138849592266.98907,41412581333.29004,-16965.624022159962,11917.86076592447,11315724193.401718,-10420329996.73795,28083.753866032333,-25359.607653719595,-150165316460.39096,-30992251336.55184,-11118.129843872435,13441.7468877951
137113056141.6693,42588768010.90447,-17767.799621593862,11599.793280316435,14132279868.604448,-12945418452.813522,28253.099132764073,-25133.602307044097,-151245336010.27408,-29643349558.09078,-10485.299511170295,13533.809026727613
135295516258.75093,43731276034.001114,-18585.447227563593,11243.801920298638,16967458740.12538,-15445319103.553873,28455.87452451236,-24855.645212179174,-152262974998.87692,-28285956930.447094,-9870.427296948867,13611.8432918805
133395507190.5447,44836166802.46044,-19416.86815000406,10846.958645961222,19824493349.688538,-17914772151.066532,28689.794807784758,-24524.418098019825,-153220000540.2339,-26921394651.393795,-9272.92665778078,13677.45945205853
131411752919.54959,45899208506.87614,-20259.967192393102,10406.334936258061,22706364631.65984,-20348379053.1567,28952.10964580613,-24138.47293252004,-154118117551.2103,-25550829453.719315,-8692.142453413106,13732.13799626191
129343208146.00804,46915878530.59292,-21112.220055711263,9919.052448018661,25615754391.220028,-22740592293.508278,29239.583593183474,-23696.288583336387,-154958962537.22885,-24175286237.08452,-8127.363537472296,13777.236135317673
127189102657.34497,47881371424.6725,-21970.64506200799,9382.343907572724,28554995887.62259,-25085711344.79882,29548.47859936964,-23196.33807061425,-155744098544.9683,-22795660079.873554,-7577.833537361727,13813.994163041445
124948988211.04733,48790613500.27218,-22831.781595933306,8793.624590245996,31526022899.185574,-27377885894.790684,29874.541604086964,-22637.166566988628,-156475011110.2335,-21412727605.481346,-7042.760008153748,13843.54197674257
